3.34182		1.45877	0
4.16358		3.16985	5
4.43166		0.58741	9
4.95617		4.08791	7
5.05368		0.23380	0
5.92773		0.12167	3
6.09864		0.53317	5
6.69403		3.36061	5
7.89028		0.80751	4
8.84790		1.43713	5
8.85368		0.64653	9
9.91766		4.29342	1
12.27789	0.77857	1
12.59378	1.44806	7
12.84774	2.39919	7
13.74493	0.32875	2
14.14333	2.83505	7
15.57535	0.39850	5
15.69747	0.17594	9
16.02457	5.95802	6
16.09079	0.25544	7
16.11336	0.86177	1
16.42206	1.55966	2
16.80809	1.15744	4
16.88221	1.25006	5
17.00668	0.13604	8
17.00830	0.80027	6
17.25424	0.74833	5
17.91598	0.97049	0
18.00309	2.99239	5
18.49236	1.90339	0
18.68727	2.30288	9
21.05439	0.86778	4
21.69829	1.03896	5
21.96390	0.29551	7
22.05251	0.25565	6
22.41439	1.26642	5
22.56244	0.60667	3
22.95294	0.84177	4
23.10052	1.77846	9
23.35674	0.76315	2
23.51070	0.39682	7
23.78967	0.81438	2
24.73309	1.19298	8
25.16075	0.17566	6
25.49052	3.00807	4
25.63335	0.85009	9
26.52235	3.33571	1
26.87710	2.20490	6
27.05563	0.54689	3
28.01262	0.84141	6
28.99010	0.87978	7
29.17355	0.95511	3
29.59957	2.12315	6
29.61657	0.30481	0
30.55448	0.10479	1
30.65270	1.43299	1
31.47954	1.38129	0
31.58049	0.59513	7
32.51089	0.54829	7
32.66688	0.72195	2
33.30413	1.45149	4
33.49533	0.22395	7
33.65827	0.59508	7
34.70599	0.80018	5
34.79636	2.67975	7
35.12621	0.32883	7
35.55263	1.80551	0
35.57864	0.86553	2
35.87798	0.84911	0
36.25368	0.78473	6
36.33673	0.91943	0
36.72927	1.04191	0
36.73787	0.96909	8
36.88899	2.45355	5
37.70385	0.21819	4
37.79138	0.73776	9
38.13707	0.89310	4
39.93447	0.80433	6
40.21328	2.38852	3
40.52948	1.31167	4
40.61487	0.37378	9
40.82445	1.29622	8
40.91036	1.67437	6
42.01434	0.23754	5
42.59344	0.84862	5
43.21919	0.87179	7
44.20132	2.24842	4
44.29173	0.27628	9
44.54696	0.23315	9
45.23470	1.54775	7
48.44816	2.23744	8
48.55586	0.12757	5
49.33483	1.72609	7
49.63085	3.40070	7
50.71765	0.63085	2
50.86002	0.30135	5
51.16495	2.08422	2
51.57920	1.27985	2
51.76026	0.98935	1
52.17454	1.16736	8
52.44876	0.50404	1
52.68084	1.46513	2
53.02331	0.83015	7
53.20470	0.86257	4
54.03522	0.87266	4
54.89724	3.00389	2
55.28831	0.80161	0
56.45224	0.37581	6
57.63240	0.66095	1
57.66789	2.42209	1
57.72358	0.99028	1
58.46433	0.21009	6
58.90927	1.27973	9
